"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","ProductDescription","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD"
"H4","634","QAT","Qatar","30","PHARMACEUTICAL PRODUCTS","000","WLD","World",2016,"Gross Imports",537452.87
"H4","634","QAT","Qatar","31","FERTILISERS","000","WLD","World",2016,"Gross Imports",5455.123
"H4","634","QAT","Qatar","32","TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS","000","WLD","World",2016,"Gross Imports",176451.311
"H4","634","QAT","Qatar","33","ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS","000","WLD","World",2016,"Gross Imports",397951.757
"H4","634","QAT","Qatar","34","SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREPARATIONS, CANDLES AND SIMILAR ARTICLES, MODELLING PASTES, ‘DENTAL WAXES’ AND DENTAL PREPARATION","000","WLD","World",2016,"Gross Imports",168480.95
"H4","634","QAT","Qatar","35","ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES","000","WLD","World",2016,"Gross Imports",25313.131
"H4","634","QAT","Qatar","36","EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS","000","WLD","World",2016,"Gross Imports",15887.455
"H4","634","QAT","Qatar","37","PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS","000","WLD","World",2016,"Gross Imports",24022.379
"H4","634","QAT","Qatar","38","MISCELLANEOUS CHEMICAL PRODUCTS","000","WLD","World",2016,"Gross Imports",385561.698
"H4","634","QAT","Qatar","39","PLASTICS AND ARTICLES THEREOF","000","WLD","World",2016,"Gross Imports",748793.052
"H4","634","QAT","Qatar","40","RUBBER AND ARTICLES THEREOF","000","WLD","World",2016,"Gross Imports",289667.971
"H4","634","QAT","Qatar","41","RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER","000","WLD","World",2016,"Gross Imports",1963.515
"H4","634","QAT","Qatar","42","ARTICLES OF LEATHER; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES OF ANIMAL GUT (OTHER THAN SILKWORM GUT)","000","WLD","World",2016,"Gross Imports",159657.707
"H4","634","QAT","Qatar","43","FURSKINS AND ARTIFICIAL FUR; MANUFACTURES THEREOF","000","WLD","World",2016,"Gross Imports",1669.958
"H4","634","QAT","Qatar","44","WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL","000","WLD","World",2016,"Gross Imports",271528.32
"H4","634","QAT","Qatar","45","CORK AND ARTICLES OF CORK","000","WLD","World",2016,"Gross Imports",2845.808
"H4","634","QAT","Qatar","46","MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK","000","WLD","World",2016,"Gross Imports",10816.925
"H4","634","QAT","Qatar","47","PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; RECOVERED (WASTE AND SCRAP) PAPER OR PAPERBOARD","000","WLD","World",2016,"Gross Imports",1722.433
"H4","634","QAT","Qatar","48","PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD","000","WLD","World",2016,"Gross Imports",183190.269
"H4","634","QAT","Qatar","49","PRINTED BOOKS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS","000","WLD","World",2016,"Gross Imports",80701.295
"H4","634","QAT","Qatar","50","SILK","000","WLD","World",2016,"Gross Imports",3174.936
"H4","634","QAT","Qatar","51","WOOL, FINE OR COARSE ANIMAL HAIR; HORSEHAIR YARN AND WOVEN FABRIC","000","WLD","World",2016,"Gross Imports",2188.939
"H4","634","QAT","Qatar","52","COTTON","000","WLD","World",2016,"Gross Imports",7702.636
"H4","634","QAT","Qatar","53","OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN","000","WLD","World",2016,"Gross Imports",5529.888
"H4","634","QAT","Qatar","54","MAN-MADE FILAMENTS; STRIP AND THE LIKE OF MAN-MADE TEXTILE MATERIALS","000","WLD","World",2016,"Gross Imports",24515.148
"H4","634","QAT","Qatar","55","MAN-MADE STAPLE FIBRES","000","WLD","World",2016,"Gross Imports",41362.411
"H4","634","QAT","Qatar","56","WADDING, FELT AND NONWOVENS; SPECIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF","000","WLD","World",2016,"Gross Imports",26730.086
"H4","634","QAT","Qatar","57","CARPETS AND OTHER TEXTILE FLOOR COVERINGS","000","WLD","World",2016,"Gross Imports",65658.849
"H4","634","QAT","Qatar","58","SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY","000","WLD","World",2016,"Gross Imports",11743.305
"H4","634","QAT","Qatar","59","IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE","000","WLD","World",2016,"Gross Imports",13777.498
"H4","634","QAT","Qatar","60","KNITTED OR CROCHETED FABRICS","000","WLD","World",2016,"Gross Imports",9207.015
"H4","634","QAT","Qatar","61","ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED","000","WLD","World",2016,"Gross Imports",265197.23
"H4","634","QAT","Qatar","62","ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED","000","WLD","World",2016,"Gross Imports",386827.579
"H4","634","QAT","Qatar","63","OTHER MADE-UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS","000","WLD","World",2016,"Gross Imports",98717.862
"H4","634","QAT","Qatar","64","FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES","000","WLD","World",2016,"Gross Imports",214545.033
"H4","634","QAT","Qatar","65","HEADGEAR AND PARTS THEREOF","000","WLD","World",2016,"Gross Imports",12443.648
"H4","634","QAT","Qatar","66","UMBRELLAS, SUN UMBRELLAS, WALKING STICKS, SEAT-STICKS, WHIPS, RIDING-CROPS AND PARTS THEREOF","000","WLD","World",2016,"Gross Imports",2358.164
"H4","634","QAT","Qatar","67","PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR","000","WLD","World",2016,"Gross Imports",7768.959
"H4","634","QAT","Qatar","68","ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS","000","WLD","World",2016,"Gross Imports",388670.624
"H4","634","QAT","Qatar","69","CERAMIC PRODUCTS","000","WLD","World",2016,"Gross Imports",218306.067
"H4","634","QAT","Qatar","70","GLASS AND GLASSWARE","000","WLD","World",2016,"Gross Imports",171027.69
"H4","634","QAT","Qatar","71","NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN","000","WLD","World",2016,"Gross Imports",613867.658
"H4","634","QAT","Qatar","72","IRON AND STEEL","000","WLD","World",2016,"Gross Imports",535683.302
"H4","634","QAT","Qatar","73","ARTICLES OF IRON OR STEEL","000","WLD","World",2016,"Gross Imports",1549464.257
"H4","634","QAT","Qatar","74","COPPER AND ARTICLES THEREOF","000","WLD","World",2016,"Gross Imports",398472.632
"H4","634","QAT","Qatar","75","NICKEL AND ARTICLES THEREOF","000","WLD","World",2016,"Gross Imports",13398.663
"H4","634","QAT","Qatar","76","ALUMINIUM AND ARTICLES THEREOF","000","WLD","World",2016,"Gross Imports",230759.747
"H4","634","QAT","Qatar","78","LEAD AND ARTICLES THEREOF","000","WLD","World",2016,"Gross Imports",5235.766
"H4","634","QAT","Qatar","79","ZINC AND ARTICLES THEREOF","000","WLD","World",2016,"Gross Imports",19764.158
"H4","634","QAT","Qatar","80","TIN AND ARTICLES THEREOF","000","WLD","World",2016,"Gross Imports",16190.746
"H4","634","QAT","Qatar","81","OTHER BASE METALS; CERMETS; ARTICLES THEREOF","000","WLD","World",2016,"Gross Imports",74365.464
"H4","634","QAT","Qatar","82","TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL","000","WLD","World",2016,"Gross Imports",99290.042
"H4","634","QAT","Qatar","83","MISCELLANEOUS ARTICLES OF BASE METAL","000","WLD","World",2016,"Gross Imports",152773.629
"H4","634","QAT","Qatar","84","NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF","000","WLD","World",2016,"Gross Imports",5359698.498
"H4","634","QAT","Qatar","85","ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES","000","WLD","World",2016,"Gross Imports",3230369.831
"H4","634","QAT","Qatar","86","RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL (INCLUDING ELECTROMECHANICAL) TRAFFIC SIGNALLING EQUIPMENT OF ALL KINDS","000","WLD","World",2016,"Gross Imports",60794.519
"H4","634","QAT","Qatar","87","VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF","000","WLD","World",2016,"Gross Imports",3764874.66
"H4","634","QAT","Qatar","88","AIRCRAFT, SPACECRAFT, AND PARTS THEREOF","000","WLD","World",2016,"Gross Imports",1974763.681
"H4","634","QAT","Qatar","89","SHIPS, BOATS AND FLOATING STRUCTURES","000","WLD","World",2016,"Gross Imports",386152.552
"H4","634","QAT","Qatar","90","OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF","000","WLD","World",2016,"Gross Imports",580484.155
"H4","634","QAT","Qatar","91","CLOCKS AND WATCHES AND PARTS THEREOF","000","WLD","World",2016,"Gross Imports",228811.614
"H4","634","QAT","Qatar","92","MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES","000","WLD","World",2016,"Gross Imports",3513.612
"H4","634","QAT","Qatar","93","ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF","000","WLD","World",2016,"Gross Imports",704037.306
"H4","634","QAT","Qatar","94","FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHINGS; LAMPS AND LIGHTING FITTINGS, NOT ELSEWHERE SPECIFIED OR INCLUDED; ILLUMINATED SIGNS, ILLUMINATED NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS","000","WLD","World",2016,"Gross Imports",866464.399
"H4","634","QAT","Qatar","95","TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF","000","WLD","World",2016,"Gross Imports",129248.174
"H4","634","QAT","Qatar","96","MISCELLANEOUS MANUFACTURED ARTICLES","000","WLD","World",2016,"Gross Imports",116701.499
"H4","634","QAT","Qatar","97","WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES","000","WLD","World",2016,"Gross Imports",322034.619
