"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","ProductDescription","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD"
"H4","634","QAT","Qatar","01","LIVE ANIMALS","000","WLD","World",2016,"Gross Imports",219404.23
"H4","634","QAT","Qatar","02","MEAT AND EDIBLE MEAT OFFAL","000","WLD","World",2016,"Gross Imports",437751.746
"H4","634","QAT","Qatar","03","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","000","WLD","World",2016,"Gross Imports",78545.096
"H4","634","QAT","Qatar","04","DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED","000","WLD","World",2016,"Gross Imports",400724.627
"H4","634","QAT","Qatar","05","PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED","000","WLD","World",2016,"Gross Imports",635.255
"H4","634","QAT","Qatar","06","LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE","000","WLD","World",2016,"Gross Imports",34185.501
"H4","634","QAT","Qatar","07","EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS","000","WLD","World",2016,"Gross Imports",274059.053
"H4","634","QAT","Qatar","08","EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MELONS","000","WLD","World",2016,"Gross Imports",234206.198
"H4","634","QAT","Qatar","09","COFFEE, TEA, MATÉ AND SPICES","000","WLD","World",2016,"Gross Imports",76192.694
"H4","634","QAT","Qatar","10","CEREALS","000","WLD","World",2016,"Gross Imports",280022.77
"H4","634","QAT","Qatar","11","PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN","000","WLD","World",2016,"Gross Imports",48509.907
"H4","634","QAT","Qatar","12","OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER","000","WLD","World",2016,"Gross Imports",30325.657
"H4","634","QAT","Qatar","13","LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS","000","WLD","World",2016,"Gross Imports",3573.768
"H4","634","QAT","Qatar","14","VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED","000","WLD","World",2016,"Gross Imports",302.416
"H4","634","QAT","Qatar","15","ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES","000","WLD","World",2016,"Gross Imports",106748.075
"H4","634","QAT","Qatar","16","PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES","000","WLD","World",2016,"Gross Imports",79733.184
"H4","634","QAT","Qatar","17","SUGARS AND SUGAR CONFECTIONERY","000","WLD","World",2016,"Gross Imports",64211.326
"H4","634","QAT","Qatar","18","COCOA AND COCOA PREPARATIONS","000","WLD","World",2016,"Gross Imports",88020.279
"H4","634","QAT","Qatar","19","PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS' PRODUCTS","000","WLD","World",2016,"Gross Imports",209236.074
"H4","634","QAT","Qatar","20","PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS","000","WLD","World",2016,"Gross Imports",107776.359
"H4","634","QAT","Qatar","21","MISCELLANEOUS EDIBLE PREPARATIONS","000","WLD","World",2016,"Gross Imports",174184.478
"H4","634","QAT","Qatar","22","BEVERAGES, SPIRITS AND VINEGAR","000","WLD","World",2016,"Gross Imports",167790.027
"H4","634","QAT","Qatar","23","RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODDER","000","WLD","World",2016,"Gross Imports",39972.206
"H4","634","QAT","Qatar","24","TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES","000","WLD","World",2016,"Gross Imports",88150.847
"H4","634","QAT","Qatar","25","SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT","000","WLD","World",2016,"Gross Imports",553407.344
"H4","634","QAT","Qatar","26","ORES, SLAG AND ASH","000","WLD","World",2016,"Gross Imports",430210.703
"H4","634","QAT","Qatar","27","MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES","000","WLD","World",2016,"Gross Imports",303760.049
"H4","634","QAT","Qatar","28","INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES","000","WLD","World",2016,"Gross Imports",442463.788
"H4","634","QAT","Qatar","29","ORGANIC CHEMICALS","000","WLD","World",2016,"Gross Imports",176251.674
