"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","ProductDescription","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD"
"H4","392","JPN","Japan","01","LIVE ANIMALS","000","WLD","World",2017,"Gross Imports",228023.45242766
"H4","392","JPN","Japan","01","LIVE ANIMALS","032","ARG","Argentina",2017,"Gross Imports",1822.24077626
"H4","392","JPN","Japan","01","LIVE ANIMALS","036","AUS","Australia",2017,"Gross Imports",43773.8325814
"H4","392","JPN","Japan","01","LIVE ANIMALS","040","AUT","Austria",2017,"Gross Imports",3.84311063
"H4","392","JPN","Japan","01","LIVE ANIMALS","052","BRB","Barbados",2017,"Gross Imports",5.26978743
"H4","392","JPN","Japan","01","LIVE ANIMALS","056","BEL","Belgium",2017,"Gross Imports",6208.10384463
"H4","392","JPN","Japan","01","LIVE ANIMALS","076","BRA","Brazil",2017,"Gross Imports",6.58946347
"H4","392","JPN","Japan","01","LIVE ANIMALS","090","SLB","Solomon Is",2017,"Gross Imports",14.69477104
"H4","392","JPN","Japan","01","LIVE ANIMALS","116","KHM","Cambodia",2017,"Gross Imports",6239.13406503
"H4","392","JPN","Japan","01","LIVE ANIMALS","120","CMR","Cameroon",2017,"Gross Imports",4.85070112
"H4","392","JPN","Japan","01","LIVE ANIMALS","124","CAN","Canada",2017,"Gross Imports",25559.82437846
"H4","392","JPN","Japan","01","LIVE ANIMALS","156","CHN","China",2017,"Gross Imports",5800.52011633
"H4","392","JPN","Japan","01","LIVE ANIMALS","170","COL","Colombia",2017,"Gross Imports",7.98939008
"H4","392","JPN","Japan","01","LIVE ANIMALS","178","COG","Congo",2017,"Gross Imports",13.53559614
"H4","392","JPN","Japan","01","LIVE ANIMALS","180","ZAR","Dem.Rp.Congo",2017,"Gross Imports",24.61909153
"H4","392","JPN","Japan","01","LIVE ANIMALS","203","CZE","Czech Rep",2017,"Gross Imports",470.76767708
"H4","392","JPN","Japan","01","LIVE ANIMALS","204","BEN","Benin",2017,"Gross Imports",2.95143763
"H4","392","JPN","Japan","01","LIVE ANIMALS","208","DNK","Denmark",2017,"Gross Imports",759.30414315
"H4","392","JPN","Japan","01","LIVE ANIMALS","218","ECU","Ecuador",2017,"Gross Imports",6.11687678
"H4","392","JPN","Japan","01","LIVE ANIMALS","222","SLV","El Salvador",2017,"Gross Imports",59.99175944
"H4","392","JPN","Japan","01","LIVE ANIMALS","226","GNQ","Eq.Guinea",2017,"Gross Imports",1.92601368
"H4","392","JPN","Japan","01","LIVE ANIMALS","233","EST","Estonia",2017,"Gross Imports",2.46993421
"H4","392","JPN","Japan","01","LIVE ANIMALS","251","FRA","France+Monac",2017,"Gross Imports",7208.49853352
"H4","392","JPN","Japan","01","LIVE ANIMALS","276","DEU","Germany",2017,"Gross Imports",4379.55894026
"H4","392","JPN","Japan","01","LIVE ANIMALS","288","GHA","Ghana",2017,"Gross Imports",9.1842319
"H4","392","JPN","Japan","01","LIVE ANIMALS","328","GUY","Guyana",2017,"Gross Imports",57.94982827
"H4","392","JPN","Japan","01","LIVE ANIMALS","344","HKG","Hong Kong",2017,"Gross Imports",87.95462472
"H4","392","JPN","Japan","01","LIVE ANIMALS","348","HUN","Hungary",2017,"Gross Imports",41.6411291
"H4","392","JPN","Japan","01","LIVE ANIMALS","360","IDN","Indonesia",2017,"Gross Imports",615.85179091
"H4","392","JPN","Japan","01","LIVE ANIMALS","372","IRL","Ireland",2017,"Gross Imports",3455.00104002
"H4","392","JPN","Japan","01","LIVE ANIMALS","376","ISR","Israel",2017,"Gross Imports",480.04999301
"H4","392","JPN","Japan","01","LIVE ANIMALS","381","ITA","Italy",2017,"Gross Imports",57.89632789
